Identifiant de la taxe pour le rapport particulier;Nom de la taxe;Article;Corpus;Organisme affectataire;Classification du Conseil des prélèvements obligatoires;2007;2008;2009;2010;2011;2012 (p);2013 (p)
69;Taxe pour le développement des industries de l'ameublement ainsi que des industries du bois;article 71 A;LFR 2003 n°2003-1312 du 30 décembre 2003;Comité professionnel de développement des industries françaises de l'ameublement et du bois;Organisme professionnel;;;;;;;
73;Taxe pour le développement des industries de la mécanique et de la construction métallique, des matériels et consommables de soudage et produits du décolletage, de construction métallique et des matériels aérauliques et thermiques;article 71 E;LFR 2003 n°2003-1312 du 30 décembre 2003;Centres techniques industriels de la mécanique;Organisme professionnel;;;;;;;
74;Taxe pour le développement des industries des matériaux de construction regroupant les industries du béton, de la terre cuite et des roches ornementales et de construction;article 71 E;LFR 2003 n°2003-1312 du 30 décembre 2003;Centre d'étude et de recherche de l'industrie du béton;Organisme professionnel;;;;;;;
75;Taxe pour le développement de l'industrie de la conservation des produits agricoles;article 72;LFR 2003 n°2003-1312 du 30 décembre 2003;Centre technique de la conservation des produits agricoles;Organisme professionnel;3;3;3;3;3;3;3
9915;Taxe affectée à l'office nationale interprofessionnel des céréales (ONIC);article 74;LFR 2003 n°2003-1312 du 30 décembre 2003;FranceAgriMer;Agence de l'État;;;;;;;
64;Taxe au profit de FranceAgriMer (anciennement affectée à l'OFIMER);article 75;LFR 2003 n°2003-1312 du 30 décembre 2003;FranceAgriMer;Agence de l'État;5;5;5;5;6;5;5
183;Contribution de solidarité sur les billets d'avion;article 22;LFR 2005;Fonds de solidarité pour le développement;Agence de l'État;;;;;;;
1140;Taxe sur les véhicules de société;article 6;LFR 2007;Régime de protection sociale des non salariés agricoles;Réaffectation aux organismes de sécurité sociale;260;;;;;;
262;Taxe générale sur les activités polluantes;article 45;LFR 2010;Agence de l'environnement et de la maîtrise de l'énergie;Agence de l'État;;242;;;;;
41;Taxe destinée à financer le développement des actions de formation professionnelle dans les transports routiers;article 53 A;LFR d'hiver 2002;Association pour le développement de la formation professionnelle dans les transports;Organisme professionnel;;;;;;;
9917;Taxe pour le développement de la formation professionnelle dans le bâtiment et les travaux publics;article 53 B;LFR d'hiver 2002;Comité central de coordination de l'apprentissage du bâtiment et des travaux publics;Contribution rendue obligatoire par l'État;;;;;;;
43;Taxe pour le développement de la formation professionnelle dans les métiers de la réparation de l'automobile, du cycle et du motocycle;article 53 C;LFR d'hiver 2002;Association nationale pour la formation automobile;Contribution rendue obligatoire par l'État;;;;;;;
68;Contribution annuelle des distributeurs d'énergie électrique en basse tension;article 108;LFR du 31 décembre 1936;CAS Financement des aides aux collectivités pour l'électrification rurale;Affectation interne;335;531;356;340;374;377;377
9876;Prélèvement de solidarité sur l'eau;;loi 2006-1772 du 30 décembre 2006 sur l'eau et les milieux aquatiques;Agences de l'eau;Agence de l'État;;;;;;;
9876;Prélèvement de solidarité sur l'eau;;loi 2006-1772 du 30 décembre 2006 sur l'eau et les milieux aquatiques;Multiples (mixte);Agence de l'État;;;;;;;
9876;Prélèvement de solidarité sur l'eau;;loi 2006-1772 du 30 décembre 2006 sur l'eau et les milieux aquatiques;Office national de l'eau et des milieux aquatiques;Agence de l'État;;;;;;;
9919;"Contributions additionnelle et complémentaire aux primes ou cotisations d'assurance couvrant à titre exclusif ou principal:- les dommages aux bâtiments et au cheptel mort affectés aux exploit. agric.; - les risques responsabilité civ.";article 80;loi 64-706 du 10/07/64;Fonds national de garantie des risques agricoles et fonds de calamités agricoles dans les départements d'outre-mer;Contribution rendue obligatoire par l'État;;;;;;;
9860;Versement de transport dû par les entreprises de plus de 9 salariés implantées en province;;loi 71-559 du 12 juillet 1971;Divers organismes de transport;Agence locale;;;;;;;
9861;Versement de transport dû par les entreprises de plus de 9 salariés implantées en Ile de France;loi 71-559 du 12 juillet 1971;loi 71-559 du 12 juillet 1971;Syndicat des transports d'Ile-de-France;Agence locale;;;;;;;
735;Contribution de solidarité en faveur des travailleurs privés d'emploi;;loi 82-939 du 4 novembre 1982;Fonds de solidarité;Agence de l'État;1252;1264;1272;;;;
76;Taxe pour le comité professionnel des stocks stratégiques pétroliers;;loi 92-1443 du 31 décembre 1992;Comité professionnel des stocks stratégiques pétroliers;Organisme professionnel;408;462;360;313;313;469;731
9748;Redevances (pollution et prélèvements) au profit des agences de l'eau;article 14;loi de Finances du 16 décembre 1964;Agences de l'eau;Agence de l'État;;;;;;;
9997;Contribution au service public de l'électricité;article 5;loi du 10 février 2000 relative à la modernisation et au développement du service public de l'electricité;Caisse des dépôts et consignations (péréquation);Prélèvements péréquateurs;1466,2;1694,2;1655,5;1929;2875;3258;3691
9997;Contribution au service public de l'électricité;article 5;loi du 10 février 2000 relative à la modernisation et au développement du service public de l'electricité;Médiateur national de l'énergie;Prélèvements péréquateurs;;;;7;7;7;7
9927;Prélèvement sur le produit des primes ou cotisations additionnelles relatives à la garantie contre le risque de catastrophes naturelles;;loi du 2 février 1995;Fonds de prévention des risques naturels majeurs;Contribution rendue obligatoire par l'État;;;;;;;
202;Taxe applicable aux demandes de validation d'une attestation d'accueil;;loi du 26 novembre 2003;Office français de l'immigration et de l'intégration;Agence de l'État;;;;;;;
239;Redevance d'archéologie préventive;article 17;loi du 9 août 2004;Fonds national pour l'archéologie préventive;Agence de l'État;;;;;;;
239;Redevance d'archéologie préventive;article 17;loi du 9 août 2004;Institut national de recherche en archéologie préventive;Agence de l'État;;;;;;;
239;Redevance d'archéologie préventive;article 17;loi du 9 août 2004;Multiples (État);Agence de l'État;;;;;;;
239;Redevance d'archéologie préventive;article 17;loi du 9 août 2004;Services locaux d'archéologie;Agence locale;;;;;;;
11001;Contribution des établissements de santé et médico-sociaux;article 2;loi du 9 janvier 1986;Centre national de gestion;Agence de l'État;4;6;8;10;10;9,6;10
184;Taxe affectée au Centre technique interprofessionnel des fruits et légumes;article 73;loi n° 2003-1312 du 30 décembre 2003 de finances rectificative pour 2003;Centre technique interprofessionnel des fruits et légumes;Organisme professionnel;16;16;16;17;17;17;17
239;Redevance d'archéologie préventive;article 10;loi n° 2003-707 du 1er août 2003;Institut national de recherche en archéologie préventive;Agence de l'État;;;;;;;
239;Redevance d'archéologie préventive;article 10;loi n° 2003-707 du 1er août 2003;Multiples (État);Agence de l'État;;;;;;;
239;Redevance d'archéologie préventive;article 10;loi n° 2003-707 du 1er août 2003;Services locaux d'archéologie;Agence locale;;;;;;;
1221;Taxe additionnelle à la taxe annuelle sur les médicaments et les produits bénéficiaires d'une autorisation de mise sur le marché (AMM);article 23;loi n° 2005-1720 du 30 décembre 2005 de finances rectificative pour 2005;Centre national de gestion des essais de produits de santé;Agence de l'État;10;10;10;10;10;10;10
1098;Contributions additionnelles de 1,1 % au prélèvement de 2 % sur les revenus du patrimoine et les produits de placements;article 3;loi n° 2008-1249 du 1er décembre 2008 généralisant le revenu de solidarité active et réformant les politiques d'insertion;Fonds national des solidarités actives;Prélèvements péréquateurs;;0;906;1025;1144;1358;1882
9977;Taxe additionnelle à l'imposition forfaitaire des entreprises de réseaux des Stations Radio;a) du III du A de l'article 158;loi n° 2010-1657 du 29 décembre 2010 de finances pour 2011;Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail;Agence de l'État;;;;;2;;2
9976;Taxe additionnelle à l'imposition forfaitaire des entreprises de réseaux des Stations Radio;b) du III du A de l'article 158;loi n° 2010-1657 du 29 décembre 2010 de finances pour 2012;Agence de services et de paiement;Agence de l'État;;;;;3;;3
179;Taxe annuelle sur les locaux à usage de bureaux, les locaux commerciaux, les locaux de stockage et les surfaces de stationnement annexées à ces catégories de locaux perçue dans la région Ile-de-France;article 31;loi n° 2010-1658 du 29 décembre 2010 de finances rectificative pour 2010;Société du Grand Paris;Agence de l'État;;;;0;156;155;168
179;Taxe annuelle sur les locaux à usage de bureaux, les locaux commerciaux, les locaux de stockage et les surfaces de stationnement annexées à ces catégories de locaux perçue dans la région Ile-de-France;article 31;loi n° 2010-1658 du 29 décembre 2010 de finances rectificative pour 2010, article 210 alinéa VII;Agence nationale pour la rénovation urbaine;Agence de l'État;;;;0;95;95;95
9963;Taxe exceptionnelle sur les bonus 2009 versés par les banques en 2010;article 2;loi n° 2010-237 du 9 mars 2010 de finances rectificative pour 2010;OSEO;Agence de l'État;;;;;;;
9879;Part du produit de la vente des biens confisqués lorsque l’agence est intervenue pour leur gestion ou leur vente;article 706-163;loi n° 2010-768 du 9 juillet 2010;Agence de gestion et de recouvrement des avoirs saisis et confisqués;Agence de l'État;;;;0;;;
9903;Contribution pour l’aide juridique;article 54;loi n° 2011-900 du 29 juillet 2011 de finances rectificative pour 2011, à codifier à l’article 1635 bis Q;Conseil national des barreaux;Organisme professionnel;;;;0;9;48;60
12;Prélèvement de 2% sur les revenus du patrimoine et les produits de placement et contribution additionnelle;article 9;loi n° 97-1164 du 19 décembre 1997 de financement de la sécurité sociale pour 1998;Caisse d'amortissement de la dette sociale;Affectation initiale aux organismes de sécurité sociale;;;;;;;
9924;Taxe sur les logements vacants au profit de l'ANAH;article 51;loi n° 98-657 du 29 juillet 1998 d'orientation relative à la lutte contre l'exclusion;Agence nationale pour l'amélioration de l'habitat;Agence de l'État;;;;;;;
12;Prélèvement de 2% sur les revenus du patrimoine et les produits de placement et contribution additionnelle;article 10;loi n° 99-641 du 27 juillet 1999 portant création de la couverture maladie universelle;Multiples (social);Affectation initiale aux organismes de sécurité sociale;;;;;;;
938;Contribution solidarité autonomie;article 11-1;loi n°2004-626 du 30 juin 2004;Caisse nationale de solidarité pour l'autonomie;Agence de l'État;2186;2193;2186;2201;2333;2322;2398
1542;Contribution tarifaire d'acheminement;article 18;loi n°2004-803 du 9 août 2004 relative au service public de l’électricité et du gaz et aux entreprises électriques et gazières;Caisse nationale de retraite des industries électriques et gazières;Affectation initiale aux organismes de sécurité sociale;1020;1024;1025;1093;1138;1144;1172
1038;Contribution des employeurs publics au fonds pour l'insertion des personnes handicapées dans la fonction publique (FIPHFP);article 36;loi n°2005-102 du 11 février 2005 pour l'égalité des droits et des chances, la participation et la citoyenneté des personnes handicapées;Établissement public administratif chargé de la gestion du fonds pour l'insertion des personnes handicapées dans la fonction publique;Agence de l'État;;148;;;;;
2008;Contribution des employeurs publics au fonds pour l'insertion des personnes handicapées dans la fonction publique (FIPHFP);article 36;loi n°2005-102 du 11 février 2005 pour l'égalité des droits et des chances, la participation et la citoyenneté des personnes handicapées;Établissement public administratif chargé de la gestion du fonds pour l'insertion des personnes handicapées dans la fonction publique;Agence de l'État;;;;;;;
354;Taxe au profit de FranceAgriMer;article 25;loi n°2005-1720 du 30 décembre 2005 de finances rectificative pour 2005;FranceAgriMer;Agence de l'État;13;12;5;15;13;15;15
277;Droit de sécurité;article 3.1;loi n°2006-10 du 5 janvier 2006 relative à la sécurité et au développement des transports;Établissement public de sécurité ferroviaire;Agence de l'État;13;13;14;14;17;15;17
178;Droits de consommation sur les tabacs;article 41;loi N°2006-1666 du 21/12/2006 portant LFI 2007 (dispositions applicables jusqu'au 31/12/2009);Fonds national d'aide au logement;Prélèvements péréquateurs;;142;;;;;
9999;Droits de consommation sur les tabacs;article 18;loi n°2006-1771 de finances rectificative pour 2006;Fonds unique de péréquation;Contribution rendue obligatoire par l'État;;;;;;;
394;Taxe additionnelle à la taxe sur les installations nucléaires de base - Recherche;article 21;loi n°2006-739 du 28 juin 2006;Agence nationale pour la gestion des déchets radioactifs;Agence de l'État;89;98;97;120;120;119;119
395;Taxe additionnelle à la taxe sur les installations nucléaires de base - Accompagnement;article 21;loi n°2006-739 du 28 juin 2006;"Groupements d'intérêt public ""Objectif Meuse"" et ""Haute-Marne""";Agence locale;23;23;22;39;39;39;39
9881;Droits de consommation sur les tabacs;article 54-1;loi N°2007-1822 du 24/12/2007 portant LFI 2008 (dispositions applicables à compter de 2010);Fonds national d'aide au logement;Prélèvements péréquateurs;;;;153;162;166;170
1181;Droits de consommation sur les tabacs;article 54-1;loi N°2007-1822 du 24/12/2007 portant LFI 2008 (Dispositions applicables à compter du 01/01/2010);Fonds national d'aide au logement;Prélèvements péréquateurs;;142;0;;;;
1582;Droit dû par les entreprises ferroviaires pour l'autorité de régulation des activités ferroviaires;article 21 (§ II);loi n°2009-1503 du 8 décembre 2009 relative à l'organisation et à la régulation des transports ferroviaires;Autorité de régulation des activités ferroviaires;Agence de l'État;;;0;10;12;11;11
435;Produits des jeux exploités par la Française des Jeux;article 79;loi N°2010-1657 de finances pour 2011;Centre national pour le développement du sport;Agence de l'État;;;166;;;;
9911;Contribution annuelle au profit de l'Institut de radioprotection et de sûreté nucléaire;article 96;loi N°2010-1658 de finances rectificative du 29 décembre 2010;Institut de radioprotection et de sûreté nucléaire;Agence de l'État;;;;0;33;33;48
1523;Taxe sur les jeux en ligne;article 47;loi n°2010-476 du 12 mai 2010 relative à l’ouverture à la concurrence et à la régulation du secteur des jeux d’argent et de hasard en ligne (article 302 bis ZI;Centre des monuments nationaux;Agence de l'État;;;;5;10;10;8
1141;Taxe pour frais de chambre de métiers et de l'artisanat - chambre de métiers de la Moselle;;loi n°48-977 du 16 juin 1948 relative à la taxe pour frais de chambre de métiers applicable dans les départements du Bas-Rhin, du haut-Rhin et de la Moselle;Chambre de métiers et de l'artisanat de la Moselle;Monde consulaire;6;6;6;6;7;7;7
1142;Taxe pour frais de chambre de métiers et de l'artisanat - chambre de métiers d'Alsace;;loi n°48-977 du 16 juin 1948 relative à la taxe pour frais de chambre de métiers applicable dans les départements du Bas-Rhin, du haut-Rhin et de la Moselle;Chambre de métiers et de l'artisanat d'Alsace;Monde consulaire;8;8;8;8;9;9;9
918;Contribution des organismes de protection sociale complémentaire à la couverture universelle complémentaire du risque maladie;article 27;loi n°99-641 du 27 juillet 1999 portant création de la couverture maladie universelle;Fonds de financement de la protection complémentaire de la couverture universelle du risque maladie;Agence de l'État;;;;;;;
259;Taxe sur les voitures particulières les plus polluantes;article 20;PLF 2008;Agence de l'environnement et de la maîtrise de l'énergie;Agence de l'État;22,3;;;;;;
2013;Taxe sur les voitures particulières les plus polluantes;article 20;PLF 2008;Agence de l'environnement et de la maîtrise de l'énergie;Agence de l'État;;;;;;;
73;Taxe pour le développement des industries de la mécanique et de la construction métallique, des matériels et consommables de soudage et produits du décolletage, de construction métallique et des matériels aérauliques et thermiques;article 43;PLF 2008;Centres techniques industriels de la mécanique;Organisme professionnel;69;79;72;62;69;70;70
1140;Taxe sur les véhicules de société;article 53;PLF 2008;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;;;;;;;
9925;Contribution exceptionnelle assise sur le chiffre d'affaires des entreprises de ventes en gros de spécialités pharmaceutiques;article 9;PLFSS 2008;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;;;;
3;Droit de circulation sur les vins, cidres, poirés et hydromels;;;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;117;;;;;;
4;Droit de consommation sur les produits intermédiaires;;;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;113;;;;;;
4;Droit de consommation sur les produits intermédiaires;;;Régime de protection sociale des non salariés agricoles;Réaffectation aux organismes de sécurité sociale;;;105;;;;
6;Droit sur les bières et les boissons non alcoolisées;;;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;382;;;;;;
6;Droit sur les bières et les boissons non alcoolisées;;;Régime de protection sociale des non salariés agricoles;Réaffectation aux organismes de sécurité sociale;;;376;;;;
7;Taxe sur les prémix;;;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;0;;;;
12;Prélèvement de 2% sur les revenus du patrimoine et les produits de placement et contribution additionnelle;;;Caisse nationale d'assurance vieillesse des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;;;;
12;Prélèvement de 2% sur les revenus du patrimoine et les produits de placement et contribution additionnelle;;;Fonds de réserve pour les retraites;Affectation initiale aux organismes de sécurité sociale;;;;;;;
12;Prélèvement de 2% sur les revenus du patrimoine et les produits de placement et contribution additionnelle;;;Fonds de solidarité vieillesse;Affectation initiale aux organismes de sécurité sociale;;;;;;;
12;Prélèvement de 2% sur les revenus du patrimoine et les produits de placement et contribution additionnelle;;;Multiples (social);Affectation initiale aux organismes de sécurité sociale;2631;;;;;;
15;Contribution sociale de solidarité des sociétés;;;Fonds de réserve pour les retraites;Affectation initiale aux organismes de sécurité sociale;;;;;;;
15;Contribution sociale de solidarité des sociétés;;;Fonds de solidarité vieillesse;Affectation initiale aux organismes de sécurité sociale;;;;;;;
15;Contribution sociale de solidarité des sociétés;;;Multiples (social);Affectation initiale aux organismes de sécurité sociale;3982;;4440;;;;
15;Contribution sociale de solidarité des sociétés;;;Régime social des indépendants;Affectation initiale aux organismes de sécurité sociale;;;;;;;
16;Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques;;;Caisse centrale de la mutualité sociale agricole;Affectation initiale aux organismes de sécurité sociale;;;;;;;
16;Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques;;;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;;;;
16;Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques;;;Multiples (social);Affectation initiale aux organismes de sécurité sociale;348;;298;;;;
16;Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques;;;Régime social des indépendants;Affectation initiale aux organismes de sécurité sociale;;;;;;;
16;Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques;;;Régimes des salariés et non salariés agricoles;Affectation initiale aux organismes de sécurité sociale;;;;;;;
17;Contribution à la charge des laboratoires pharmaceutiques non conventionnés avec le comité économique des produits de santé;;;Caisse centrale de la mutualité sociale agricole;Affectation initiale aux organismes de sécurité sociale;;;;;;;
17;Contribution à la charge des laboratoires pharmaceutiques non conventionnés avec le comité économique des produits de santé;;;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;;;;
17;Contribution à la charge des laboratoires pharmaceutiques non conventionnés avec le comité économique des produits de santé;;;Multiples (social);Affectation initiale aux organismes de sécurité sociale;;;0;;;;
17;Contribution à la charge des laboratoires pharmaceutiques non conventionnés avec le comité économique des produits de santé;;;Régime social des indépendants;Affectation initiale aux organismes de sécurité sociale;;;;;;;
17;Contribution à la charge des laboratoires pharmaceutiques non conventionnés avec le comité économique des produits de santé;;;Régimes des salariés et non salariés agricoles;Affectation initiale aux organismes de sécurité sociale;;;;;;;
18;Contribution due par les laboratoires sur leurs dépenses de publicité;;;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;;;;
18;Contribution due par les laboratoires sur leurs dépenses de publicité;;;Haute autorité de santé;Agence de l'État;;;;;;;
18;Contribution due par les laboratoires sur leurs dépenses de publicité;;;Multiples (social);Affectation initiale aux organismes de sécurité sociale;207;;169;;;;
26;Contribution due par les entreprises exploitant des médicaments bénéficiant d'une AMM;;;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;225;;;;
29;Participation des employeurs occupant 10 salariés ou plus au développement de la formation professionnelle continue;;;Organismes paritaires collecteurs agréés;Contribution rendue obligatoire par l'État;2560;;;;;;
30;Participation des employeurs occupant moins de 10 salariés au développement de la formation professionnelle continue;;;Organismes paritaires collecteurs agréés;Contribution rendue obligatoire par l'État;400;;;;;;
31;Participation des employeurs occupant 10 salariés ou plus au financement du congé individuel de formation des salariés (0,2% des rémunérations);;;Organismes paritaires agréés au titre du congé individuel de formation;Contribution rendue obligatoire par l'État;700;;719;;745;745;745
32;Financement des congés individuels de formation des salariés sous contrats à durée déterminée CIF-CDD (1% des salaires versés, ou moins en cas d'accord de branche);;;Organismes paritaires agréés au titre du congé individuel de formation;Contribution rendue obligatoire par l'État;180;;;;;;
34;Participation au financement de la formation des professions non salariées (à l'exception des artisans et des exploitants agricoles) correspondant à 0,15% du montant annuel du plafond de la sécurité sociale;;;Fonds d'assurance formation (FAF) des professions concernées;Contribution rendue obligatoire par l'État;67;;;;;;
40;Contribution pour le financement des contrats et périodes de professionnalisation et du droit individuel à la formation à 0,15% et 0,5%;;;Organismes paritaires collecteurs agréés;Contribution rendue obligatoire par l'État;1887;;1949;;1988;2008;2028
53;Cotisation des employeurs (FNAL);;;Fonds national d'aide au logement;Prélèvements péréquateurs;2095;;;;;;
